Gender,Age,Education level,Major,Administrative regions,Number of use Internet and Internet-related services,Internet/ Digital devices skills level,Digital devices type,Type of connectivity,Purpose of using internet,Operating system of desktop/laptop,Operating system of smartphone/tablet,Common security tools,Secure of person's digital devices,Legitimacy of a website,Password with personal information,Aware of the danger of clicking pop-up screens,Attention to person's account privacy,Protection of social media services for personal info,Read terms and conditions of website,Change the important accounts passwords frequently,Using public Wi-Fi,No value for my digital devices to hackers,Install software updates regularly,Careful about clicking on links in an email or other post,Digital devices with Internet security tool,Internet security tool up to date,Keep yourself updated about cybercrime (offline Sources),Keep yourself updated about cybercrime (Online Sources),Avoid disclosing personal information online,Risk of becoming a victim of cybercrime has increased,Online personal information is not secure enough,Well protected against cybercrime,Accept increased Internet surveillance from the government,Laws are effective in managing the cybercrime problem,Informed about the threat of cybercrime,Received phishing emails,Stealing your personal data,Malware infection of a device,Being unable to access online services because of cyber attacks,Encountering material promotes hatred or religious extremism,Online extortion,Concerned about identity theft,Not concerned about encountering child pornography online,Concerned about receiving phishing emails,Concerned about not being able to access online services because of cyber attacks,Concerned about encountering material promotes hatred or religious extremism,Concerned about encountering online extortion,Feeling about the threat of cybercrimes in the future,Responsibility of government in raising awareness of cybercrime,Responsibility of media in raising awareness of cybercrime,Responsibility of those offering online/Internet-based servicesin raising awareness of cybercrime,Responsibility of user itself in raising awareness of cybercrime,Responsibility of education system in raising awareness of cybercrime,Role of the government in combating cybercrimes,Victim of cybercrime,Report cybercrime,To who report cybercrime
Female,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Madina,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",I don't know,I don't know,"Software update,Backup",Somewhat secure,Often,Seldom,Sometimes,Often,Seldom,Seldom,Seldom,Often,Always,Often,Sometimes,Laptop,"No, I think it is automatically updated",I do not feel that I keep myself updated,"TV, news, radio",Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Never,Sometimes,Never,Never,Sometimes,Don't know,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Don’t know,No,"Yes, I would",Don’t know but will ask my friends for advice
Female,30-39,"Postgraduate (Master’s, PhD)",Business Administration,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",mac OS,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Always,Never,Always,Always,Never,Often,Often,Never,Never,Always,Always,"Desktop, Laptop, Smartphone","No, I think it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc.","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT), Rely on automatic updates",Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Sometimes,Do not know,Never,Never,Never,Do not know,Never,Never,Always,Never,Never,Never,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Other-MoC"
Male,30-39,"Postgraduate (Master’s, PhD)",Education,Riyadh,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Windows 10,"IOS, Windows","Anti-virus, Authentication (e.g. password, PIN) , Encryption,Backup",Somewhat secure,Never,Always,Sometimes,Always,Sometimes,Always,Seldom,Sometimes,Sometimes,Never,Sometimes,Laptop,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Always,Sometimes,Always,Sometimes,Always,Always,Always,Do not know,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Have stricter laws and punishments for cyber crimes,Yes,"No, I would not","Saudi eGovernment Portal , Police, Committee for the Promotion of Virtue and the Prevention of Vice"
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Riyadh,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Windows 7,Android,"Anti-virus, Authentication (e.g. password, PIN) , Software update,Backup",Somewhat insecure,Often,Seldom,Always,Always,Often,Always,Always,Seldom,Seldom,Often,Always,Smartphone,"Yes, I manually updated",Internet service provider ISPs,"Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Sometimes,Never,Do not know,Sometimes,Always,Sometimes,Always,Never,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,Yes,"No, I would not","Saudi eGovernment Portal , Police, Committee for the Promotion of Virtue and the Prevention of Vice"
Male,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Riyadh,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment",Windows 10,IOS,"Anti-virus, Firewall, Encryption, Software update",Very secure,Always,Sometimes,Always,Always,Sometimes,Often,Always,Sometimes,Always,Always,Always,"Desktop, Laptop, Smartphone","Yes, I believe it is automatically updated",I do not feel that I keep myself updated,Government websites (e.g. CERT),Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,Always,Always,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi eGovernment Portal , Police, Committee for the Promotion of Virtue and the Prevention of Vice"
Male,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Madina,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Desktop, Laptop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Professional reasons, Education, Social networks, Online services, Communication","Windows 10, Windows 7, Linux, Kali","Android, Kali","Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption,Backup",Very secure,Always,Never,Always,Always,Never,Always,Always,Never,Never,Often,Always,"Desktop, Laptop","Yes, I manually updated",Other,"Internet, website, email bulletins, blogs, etc.",Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Sometimes,Sometimes,Sometimes,Do not know,Sometimes,Do not know,Always,Do not know,Always,Never,Always,Never,No significant change,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,No role,No,"No, I would not","Saudi eGovernment Portal , Saudi CERT, Police"
Female,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Private Wi-Fi (e.g. in your home),Social networks,Windows 7,Android,Software update,Not sure (difficult to determine),Sometimes,Always,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,I don't know,I don't know,"Newspapers, magazines, Posters","TV, news, radio",Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Always,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Always,Sometimes,Always,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"No, I would not","Saudi eGovernment Portal , Saudi CERT, Police"
Female,30-39,"Postgraduate (Master’s, PhD)",Computer Science,Madina,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Desktop, Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Professional reasons, Education, Social networks, Online services, Communication","Windows 10, Linux","IOS, Windows","Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Always,Never,Always,Always,Seldom,Seldom,Often,Never,Never,Always,Always,"Desktop, Laptop, Smartphone,Tablet","Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs, Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Always,Always,Always,Never,Always,Never,Always,Do not know,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Police"
Male,30-39,"Postgraduate (Master’s, PhD)",Computer Science,Eastern Province,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Desktop, Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication","Windows 10, mac OS",IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Always,Never,Always,Always,Often,Always,Always,Never,Seldom,Always,Always,"Desktop, Laptop, Smartphone","Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs, Government or professional reports","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Never,Never,Never,Sometimes,Never,Never,Somtimes,Always,Sometimes,Never,Do not know,Do not know,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT"
Female,40-49,Middle School,Computer Science,Madina,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Private Wi-Fi (e.g. in your home),"Social networks, Entertainment","Windows 10, mac OS",I don't know,"Authentication (e.g. password, PIN)",Not sure (difficult to determine),Often,Seldom,Often,Never,Always,Never,Never,Often,Always,Never,Always,None of the above,I don't know,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Sometimes,Do not know,Always,Do not know,Sometimes,Never,Do not know,Do not know,Always,Never,Always,Always,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would",Other-Internet Providers
Male,18-29,High School,Medicine or public health,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Private Wi-Fi (e.g. in your home),Entertainment,Windows 10,IOS,Anti-virus,Very secure,Often,Seldom,Often,Always,Sometimes,Always,Never,Never,Seldom,Always,Always,"Desktop, Laptop","Yes, I believe it is automatically updated",Government or professional reports,Government websites (e.g. CERT),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No role,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT"
Male,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Smartwatch",Private Wi-Fi (e.g. in your home),"Education, Social networks, Online services, Entertainment, Communication","Windows 10, Linux",Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Somewhat insecure,Seldom,Never,Often,Always,Seldom,Never,Seldom,Seldom,Often,Always,Always,None of the above,No,Government or professional reports,"Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT), Rely on automatic updates",Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Always,Do not know,Always,Always,Do not know,Do not know,Always,Always,Never,Always,Sometimes,Sometimes,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi CERT, Police"
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks,  Online services, Entertainment, Communication",Windows 10,IOS,"Anti-virus, Authentication (e.g. password, PIN)",Somewhat secure,Sometimes,Often,Often,Often,Sometimes,Seldom,Seldom,Sometimes,Always,Often,Often,Laptop,No,I do not feel that I keep myself updated,"TV, news, radio",Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Sometimes,Do not know,Do not know,Do not know,Do not know,Do not know,Never,Never,Always,Never,Never,Never,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,18-29,High School,Medicine or public health,Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Online services, Entertainment",I don't know,IOS,"Authentication (e.g. password, PIN) ,Backup",Somewhat secure,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Often,None of the above,No,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Never,Never,Never,Never,Never,Never,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,They will become a more serious issue in the future,Neutral,Neutral,Neutral,Neutral,Neutral,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi eGovernment Portal , Police"
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Social networks, Online services",I don't know,Android,Anti-virus,Not sure (difficult to determine),Always,Never,Always,Always,Never,Always,Sometimes,Never,Always,Always,Never,Smartphone,"No, I think it is automatically updated",Government or professional reports,I do not feel that I keep myself updated,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Never,Never,Never,Never,Always,Never,Do not know,Do not know,Always,Always,Always,Do not know,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice"
Male,18-29,High School,Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Social networks, Entertainment, Communication",I don't know,IOS,"Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Somewhat secure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,None of the above,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,Rely on automatic updates,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Don't know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Tablet,Private Wi-Fi (e.g. in your home),Education,"Windows 8, Linux",IOS,None,Neutral,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Tablet,No,"Newspapers, magazines, Posters","TV, news, radio",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Don't know,Neutral,Neutral,Neutral,Neutral,Neutral,No role,Yes,"No, I would not","Saudi CERT, Police"
Male,30-39,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)",Smartphone,"Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home)",Communication,Windows 10,Android,Anti-virus,Somewhat secure,Always,Seldom,Always,Always,Always,Always,Always,Always,Always,Always,Always,Smartphone,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Do not know,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Don't know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,30-39,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)",Smartphone,"Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home)",Communication,Windows 10,Android,Anti-virus,Somewhat secure,Always,Seldom,Always,Always,Always,Always,Always,Always,Always,Always,Always,Smartphone,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Do not know,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Don't know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,18-29,"Undergraduate (Diploma, BSc)",Law,Asir,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Communication",Windows 10,"IOS, Windows","Anti-virus, Firewall, Authentication (e.g. password, PIN) ,Backup",Somewhat insecure,Sometimes,Always,Often,Sometimes,Often,Never,Seldom,Often,Always,Seldom,Sometimes,Laptop,"No, I think it is automatically updated",I do not feel that I keep myself updated,I do not feel that I keep myself updated,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Do not know,Never,Never,Never,Always,Never,Somtimes,Always,Always,Sometimes,Always,Always,Don't know,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would",Police
Male,18-29,"Undergraduate (Diploma, BSc)",Law,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Private Wi-Fi (e.g. in your home),Social networks,Windows 10,Android,"Authentication (e.g. password, PIN)",Somewhat secure,Often,Often,Always,Often,Sometimes,Seldom,Seldom,Seldom,Always,Often,Often,Smartphone,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Never,Do not know,Always,Sometimes,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,No role,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,"Windows 7, I don't know",IOS,None,Neutral,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Smartphone,"No, I think it is automatically updated",Internet service provider ISPs,Government websites (e.g. CERT),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always,Always,Always,No significant change,Agree,Agree,Agree,Agree,Agree,Make people aware of cyber crime,No,"Yes, I would",Don’t know but will ask my friends for advice
Female,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Tabuk,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Communication",Windows 10,IOS,"Anti-virus, Firewall, Software update,Backup",Somewhat secure,Often,Often,Often,Often,Sometimes,Often,Often,Often,Always,Sometimes,Often,Laptop,"Yes, I believe it is automatically updated",Government or professional reports,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Do not know,Do not know,Sometimes,Do not know,Never,Never,Do not know,Sometimes,Sometimes,Do not know,Do not know,Do not know,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,Yes,"No, I would not",Don’t know but will ask my friends for advice
Female,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Tabuk,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone",Private Wi-Fi (e.g. in your home),"Education, Online services, Entertainment",Windows 7,Android,Backup,Somewhat insecure,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Laptop,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,"TV, news, radio",Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Sometimes,Do not know,Do not know,Do not know,Do not know,Do not know,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Make people aware of cyber crime,No,"Yes, I would",Don’t know but will ask my friends for advice
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Tabuk,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Communication","Windows 8, mac OS",IOS,"Anti-virus, Software update",Very secure,Often,Always,Always,Always,Often,Seldom,Seldom,Often,Always,Often,Always,Laptop,"Yes, I believe it is automatically updated",Internet service provider ISPs,"Internet, website, email bulletins, blogs, etc.",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,Always,Never,Do not know,Do not know,Always,Do not know,Always,Always,The threat will vanish eventually,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Don’t know but will ask my friends for advice
Female,18-29,"Undergraduate (Diploma, BSc)",Chemsitry,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Windows 10,Android,"Anti-virus, Software update",Somewhat secure,Seldom,Seldom,Always,Always,Never,Sometimes,Sometimes,Seldom,Never,Always,Always,Laptop,"Yes, I believe it is automatically updated","Professional activities: conferences, meetings, briefings, etc., Government or professional reports",Government websites (e.g. CERT),Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Never,Never,Always,Sometimes,Always,Sometimes,Always,Always,Sometimes,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Monitor organisations misusing consumer information,Yes,"No, I would not",Police
Female,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Riyadh,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Desktop, Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Education, Social networks, Online services, Entertainment, Communication",Windows 10,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Somewhat secure,Often,Seldom,Always,Always,Never,Never,Seldom,Never,Sometimes,Always,Always,"Desktop, Laptop","Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs, Government or professional reports","Government websites (e.g. CERT), Rely on automatic updates",Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Sometimes,Never,Sometimes,Always,Always,Never,Always,Do not know,Never,Always,Always,Always,They will become a more serious issue in the future,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Work towards providing a global cyber security framework,No,"Yes, I would",Saudi CERT
Female,18-29,"Undergraduate (Diploma, BSc)",Information System,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Private Wi-Fi (e.g. in your home),"Education, Social networks, Entertainment, Communication",Windows 10,IOS,"Authentication (e.g. password, PIN) ,Backup",Very secure,Often,Sometimes,Always,Always,Always,Often,Sometimes,Sometimes,Always,Sometimes,Always,Desktop,"No, I think it is automatically updated",I do not feel that I keep myself updated,Government websites (e.g. CERT),Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Always,Sometimes,Always,Always,Always,Always,They will become a more serious issue in the future,Agree,Agree,Agree,Agree,Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Committee for the Promotion of Virtue and the Prevention of Vice
